sol-plaatje-university	-28.7476598	24.7650210	yes	Sol Plaatje University (Central Campus), Bultfontein Road, New Park, Sol Plaatje Ward 23, 
mlab-northern-cape	NO_HIT			mLab Kimberley Northern Cape
dedat-northern-cape	NO_HIT			Department of Economic Development and Tourism, Kimberley, Northern Cape
seda-nc	NO_HIT			SEDA Kimberley Northern Cape
nc-cetc	NO_HIT			Northern Cape Community Education and Training College Kimberley
tia-center-kimberley	NO_HIT			Technology Innovation Agency Kimberley
tia	NO_HIT			Technology Innovation Agency Pretoria
nc-rural-tvet-upington	NO_HIT			Northern Cape Rural TVET College Upington
globeleq	NO_HIT			Globeleq Cape Town South Africa
nyda	NO_HIT			NYDA Kimberley Northern Cape
fetola	NO_HIT			Fetola Cape Town South Africa
nc-rural-tvet-kathu-cferis	NO_HIT			Northern Cape Rural TVET College Kathu
anglo-smme-toolkit	-27.6958330	23.0500000	town	Kathu, Gamagara Local Municipality, John Taolo Gaetsewe District Municipality, Northern Ca
de-beers-zimele	-28.7335011	24.7742453	suburb	De Beers, Sol Plaatje Ward 21, Sol Plaatje Local Municipality, Frances Baard District Muni
idc-nc	NO_HIT			Industrial Development Corporation Kimberley
transnet-enterprise	NO_HIT			Transnet De Aar Northern Cape
sarao	NO_HIT			SARAO SKA Carnarvon Northern Cape
dsi	NO_HIT			Department of Science and Innovation Pretoria
nef	NO_HIT			National Empowerment Fund Johannesburg
nc-rural-tvet-de-aar-cferis	NO_HIT			Northern Cape Rural TVET College De Aar
dsbd	NO_HIT			Department of Small Business Development Pretoria
nceda	NO_HIT			Northern Cape Economic Development Agency Kimberley
sol-plaatje-municipality-led	NO_HIT			Sol Plaatje Municipality Kimberley civic centre
dti	NO_HIT			the dtic Sunnyside Pretoria
seda-sioc	-25.7498902	28.2344879	government	SEDA, 1090, Burnett Street, Hatfield, Tshwane Ward 56, Pretoria, City of Tshwane Metropoli
kioji-kidja	NO_HIT			Kidja Kimberley Northern Cape
smme-trust	NO_HIT			SMME Trust Kimberley Northern Cape
nocci	NO_HIT			Northern Cape Chamber of Commerce Kimberley
mme-reka-thusa	-28.7383012	24.7642251	residential	Kimberley, Frances Baard District Municipality, Northern Cape, South Africa
afrisam-dev-centre	NO_HIT			AfriSam Barkly West Dikgatlong Northern Cape
khathu-industrial-park	NO_HIT			Kathu Industrial Park Northern Cape
standard-bank	NO_HIT			Standard Bank Kimberley Du Toitspan Road
codetribe-academy	NO_HIT			CodeTribe Academy mLab Kimberley
nc-urban-tvet	NO_HIT			Northern Cape Urban TVET College Kimberley
vut	NO_HIT			Vaal University of Technology Upington
ktsc	NO_HIT			Kimberley Training and Support Centre
ncdev	NO_HIT			NCDEV Kimberley
atti-kimberley	NO_HIT			ATTI Kimberley South Africa
sefa	NO_HIT			sefa Kimberley Northern Cape
petra-mines	NO_HIT			Finsch Mine Kimberley Northern Cape
edgf	-28.7383012	24.7642251	residential	Kimberley, Frances Baard District Municipality, Northern Cape, South Africa
ncnn-live	-28.7383012	24.7642251	residential	Kimberley, Frances Baard District Municipality, Northern Cape, South Africa
pingtvsa	-28.7383012	24.7642251	residential	Kimberley, Frances Baard District Municipality, Northern Cape, South Africa
kimberley-website	NO_HIT			Kimberley South Africa city centre
dfa-newspaper	NO_HIT			Diamond Fields Advertiser Kimberley
dcvh	-28.7383012	24.7642251	residential	Kimberley, Frances Baard District Municipality, Northern Cape, South Africa
cipc	NO_HIT			CIPC Pretoria South Africa
sais-bootup	NO_HIT			mLab Innovation Hub Pretoria
francis-baard-gew	-28.7383012	24.7642251	residential	Kimberley, Frances Baard District Municipality, Northern Cape, South Africa
